Warning this test is running in real-time and may be flaky.
FAIL - "webkitTransform.5" property for "box" element at 0.4s expected: 0 but saw: matrix(1, 0, 0, 1, 400, 100)

Log:
21.310000000084983 - runAnimationTest
23.797000000058688 - First webkitAnimationStart event fired
23.85500000002594 - Finished waiting for animations to start
211.41399999999066 - RAF callback, animation time: 187.54699999999502
212.53899999999248 - RAF callback, animation time: 188.66900000000442
213.99300000007315 - RAF callback, animation time: 190.12400000008256
215.24200000010296 - RAF callback, animation time: 191.37399999999616
216.35200000002897 - RAF callback, animation time: 192.48300000003837
217.488000000003 - RAF callback, animation time: 193.6200000000099
218.59900000004018 - RAF callback, animation time: 194.73100000004706
219.7120000000723 - RAF callback, animation time: 195.8430000000817
220.8180000000084 - RAF callback, animation time: 196.95000000001528
221.94200000001274 - RAF callback, animation time: 198.07400000001962
223.08000000009542 - RAF callback, animation time: 199.20999999999367
224.20900000008714 - RAF callback, animation time: 200.33999999998287
225.32599999999547 - RAF callback, animation time: 201.4560000000074
226.45299999999224 - RAF callback, animation time: 202.58400000000165
227.66699999999673 - RAF callback, animation time: 203.79700000000867
228.78000000002885 - RAF callback, animation time: 204.91200000003573
229.88900000007106 - RAF callback, animation time: 206.02000000008047
231.00099999999202 - RAF callback, animation time: 207.13000000000648
232.11000000003423 - RAF callback, animation time: 208.24100000004364
233.2290000000512 - RAF callback, animation time: 209.36100000005808
234.34900000006564 - RAF callback, animation time: 210.48000000007505
235.46700000008514 - RAF callback, animation time: 211.59900000009202
236.68100000008963 - RAF callback, animation time: 212.8099999999904
237.90100000007897 - RAF callback, animation time: 214.02399999999489
239.34300000007624 - RAF callback, animation time: 215.47400000008565
240.4470000000174 - RAF callback, animation time: 216.57900000002428
241.5560000000596 - RAF callback, animation time: 217.68700000006902
242.7100000001019 - RAF callback, animation time: 218.84000000000015
243.97900000008121 - RAF callback, animation time: 220.11000000009062
245.09800000009818 - RAF callback, animation time: 221.21800000002168
246.23600000006718 - RAF callback, animation time: 222.3670000000766
247.3410000000058 - RAF callback, animation time: 223.4730000000127
248.50500000002285 - RAF callback, animation time: 224.63700000002973
249.66200000005756 - RAF callback, animation time: 225.79400000006444
250.76799999999366 - RAF callback, animation time: 226.89900000000307
251.88700000001063 - RAF callback, animation time: 228.0190000000175
253.04900000003272 - RAF callback, animation time: 229.12400000006983
254.0800000000445 - RAF callback, animation time: 230.21300000004885
255.19200000007913 - RAF callback, animation time: 231.32300000008854
256.2950000000228 - RAF callback, animation time: 232.42600000003222
257.4020000000701 - RAF callback, animation time: 233.53300000007948
258.51600000009967 - RAF callback, animation time: 234.6469999999954
259.59900000009384 - RAF callback, animation time: 235.72999999998956
261.1850000000686 - RAF callback, animation time: 237.31600000007802
262.28200000002744 - RAF callback, animation time: 238.41300000003685
263.3930000000646 - RAF callback, animation time: 239.52300000007654
264.7460000000592 - RAF callback, animation time: 240.87600000007114
265.8210000000736 - RAF callback, animation time: 241.95300000008046
267.3340000000053 - RAF callback, animation time: 243.46300000001975
268.4740000000829 - RAF callback, animation time: 244.59699999999884
269.63100000000395 - RAF callback, animation time: 245.7600000000184
270.7190000000992 - RAF callback, animation time: 246.8499999999949
271.82200000004286 - RAF callback, animation time: 247.95300000005227
272.96499999999924 - RAF callback, animation time: 249.09600000000864
274.68500000009044 - RAF callback, animation time: 250.8139999999912
275.8010000000013 - RAF callback, animation time: 251.93300000000818
277.04400000004625 - RAF callback, animation time: 253.1740000000582
278.15400000008594 - RAF callback, animation time: 254.2839999999842
279.2670000000044 - RAF callback, animation time: 255.39900000001126
280.3880000000163 - RAF callback, animation time: 256.5180000000282
281.498000000056 - RAF callback, animation time: 257.6290000000654
282.6140000000805 - RAF callback, animation time: 258.74400000009246
283.7200000000166 - RAF callback, animation time: 259.85100000002603
285.21299999999883 - RAF callback, animation time: 261.34300000001076
286.31700000005367 - RAF callback, animation time: 262.44900000006055
287.9010000000335 - RAF callback, animation time: 264.0290000000505
289.0910000000986 - RAF callback, animation time: 265.21999999999935
290.4320000000098 - RAF callback, animation time: 266.5590000000293
291.2770000000364 - RAF callback, animation time: 267.40300000005846
292.3870000000761 - RAF callback, animation time: 268.519000000083
293.4930000000122 - RAF callback, animation time: 269.6240000000216
294.60900000003676 - RAF callback, animation time: 270.7390000000487
295.7200000000739 - RAF callback, animation time: 271.85100000008333
296.8790000001036 - RAF callback, animation time: 273.0099999999993
297.992000000022 - RAF callback, animation time: 274.1230000000314
299.1070000000491 - RAF callback, animation time: 275.237000000061
300.21800000008625 - RAF callback, animation time: 276.3479999999845
301.33900000009817 - RAF callback, animation time: 277.47099999999136
302.4440000000368 - RAF callback, animation time: 278.5760000000437
303.5500000000866 - RAF callback, animation time: 279.6809999999823
304.6400000000631 - RAF callback, animation time: 280.77300000006744
305.7300000000396 - RAF callback, animation time: 281.86200000004646
306.81300000003375 - RAF callback, animation time: 282.9460000000381
307.8960000000279 - RAF callback, animation time: 284.03000000002976
309.0060000000676 - RAF callback, animation time: 285.1380000000745
310.1010000000315 - RAF callback, animation time: 286.2350000000333
311.2300000000232 - RAF callback, animation time: 287.36000000003514
312.36200000000736 - RAF callback, animation time: 288.4950000000117
313.5340000000042 - RAF callback, animation time: 289.66800000000603
314.6360000000641 - RAF callback, animation time: 290.76900000006844
315.78799999999774 - RAF callback, animation time: 291.91800000000967
