Warning this test is running in real-time and may be flaky.
FAIL - "webkitTransform.5" property for "box" element at 0.4s expected: 0 but saw: matrix(1, 0, 0, 1, 400, 100)

Log:
9.127000000034968 - runAnimationTest
10.711000000014792 - First webkitAnimationStart event fired
10.740000000055261 - Finished waiting for animations to start
201.76600000002054 - RAF callback, animation time: 191.01399999999558
202.8530000000046 - RAF callback, animation time: 192.10099999997965
203.9399999999887 - RAF callback, animation time: 193.18799999996372
205.016999999998 - RAF callback, animation time: 194.26399999997557
206.10799999997198 - RAF callback, animation time: 195.35599999994702
207.19099999996615 - RAF callback, animation time: 196.4389999999412
208.29300000002604 - RAF callback, animation time: 197.54100000000108
209.38999999998487 - RAF callback, animation time: 198.6379999999599
210.48100000007253 - RAF callback, animation time: 199.7279999999364
211.5880000000061 - RAF callback, animation time: 200.83499999998367
212.690000000066 - RAF callback, animation time: 201.93800000004103
213.77700000005007 - RAF callback, animation time: 203.0250000000251
214.90400000004684 - RAF callback, animation time: 204.15200000002187
215.98600000004353 - RAF callback, animation time: 205.23400000001857
217.1170000000302 - RAF callback, animation time: 206.3620000000128
218.16400000000158 - RAF callback, animation time: 207.41199999997662
219.27100000004884 - RAF callback, animation time: 208.5180000000264
220.40500000002794 - RAF callback, animation time: 209.65300000000298
221.53100000002723 - RAF callback, animation time: 210.7780000000048
222.6180000000113 - RAF callback, animation time: 211.86599999998634
223.73900000002322 - RAF callback, animation time: 212.9850000000033
224.8020000000679 - RAF callback, animation time: 214.04999999992924
225.87899999996353 - RAF callback, animation time: 215.12699999993856
227.01000000006388 - RAF callback, animation time: 216.25800000003892
228.12199999998484 - RAF callback, animation time: 217.36999999995987
229.23500000001695 - RAF callback, animation time: 218.482999999992
230.3470000000516 - RAF callback, animation time: 219.59500000002663
231.45999999997002 - RAF callback, animation time: 220.70799999994506
232.5700000000097 - RAF callback, animation time: 221.81799999998475
233.67100000007213 - RAF callback, animation time: 222.91899999993348
234.74699999997028 - RAF callback, animation time: 223.99499999994532
235.8239999999796 - RAF callback, animation time: 225.07099999995717
236.90399999998135 - RAF callback, animation time: 226.1519999999564
238.0510000000413 - RAF callback, animation time: 227.29800000001887
239.1770000000406 - RAF callback, animation time: 228.42500000001564
240.3070000000298 - RAF callback, animation time: 229.55500000000484
241.43500000002405 - RAF callback, animation time: 230.6820000000016
242.57000000000062 - RAF callback, animation time: 231.81799999997565
243.69799999999486 - RAF callback, animation time: 232.9459999999699
244.83199999997396 - RAF callback, animation time: 234.07899999995152
245.96199999996315 - RAF callback, animation time: 235.20699999994577
247.09100000006856 - RAF callback, animation time: 236.3389999999299
