Warning this test is running in real-time and may be flaky.
FAIL - "webkitTransform.5" property for "box" element at 0.4s expected: 0 but saw: matrix(1, 0, 0, 1, 400, 100)

Log:
17.170999999962078 - runAnimationTest
19.709999999918182 - First webkitAnimationStart event fired
19.780999999966298 - Finished waiting for animations to start
222.16299999990952 - RAF callback, animation time: 202.34800000002906
223.29999999999472 - RAF callback, animation time: 203.48599999999806
224.44999999993342 - RAF callback, animation time: 204.63500000005297
225.58699999990495 - RAF callback, animation time: 205.7720000000245
226.70799999991686 - RAF callback, animation time: 206.89400000003388
227.83799999990606 - RAF callback, animation time: 208.0230000000256
228.9659999999003 - RAF callback, animation time: 209.15100000001985
230.13299999990977 - RAF callback, animation time: 210.3190000000268
231.2619999999015 - RAF callback, animation time: 211.4480000000185
232.3909999998932 - RAF callback, animation time: 212.57700000001023
233.5209999999961 - RAF callback, animation time: 213.70600000000195
234.65999999996257 - RAF callback, animation time: 214.8300000000063
235.78299999996943 - RAF callback, animation time: 215.96900000008645
236.9139999999561 - RAF callback, animation time: 217.09900000007565
238.04299999994782 - RAF callback, animation time: 218.22800000006737
239.1699999999446 - RAF callback, animation time: 219.35500000006414
240.30099999993126 - RAF callback, animation time: 220.4860000000508
241.4289999999255 - RAF callback, animation time: 221.61400000004505
242.5509999999349 - RAF callback, animation time: 222.73600000005445
243.68199999992157 - RAF callback, animation time: 223.86600000004364
244.8109999999133 - RAF callback, animation time: 224.99600000003284
245.939999999905 - RAF callback, animation time: 226.12500000002456
247.06899999989673 - RAF callback, animation time: 227.25400000001628
248.19699999989098 - RAF callback, animation time: 228.38200000001052
249.32699999999386 - RAF callback, animation time: 229.51199999999972
250.4479999998921 - RAF callback, animation time: 230.6340000000091
251.57799999999497 - RAF callback, animation time: 231.76300000000083
252.7069999999867 - RAF callback, animation time: 232.89299999999002
253.8369999999759 - RAF callback, animation time: 234.02200000009543
254.96299999997518 - RAF callback, animation time: 235.1490000000922
256.0919999999669 - RAF callback, animation time: 236.27800000008392
257.2219999999561 - RAF callback, animation time: 237.40700000007564
258.34099999997306 - RAF callback, animation time: 238.52700000009008
259.4729999999572 - RAF callback, animation time: 239.65800000007675
260.6029999999464 - RAF callback, animation time: 240.78900000006342
261.7319999999381 - RAF callback, animation time: 241.91800000005514
262.9059999999299 - RAF callback, animation time: 243.09100000004946
264.04199999990396 - RAF callback, animation time: 244.2270000000235
265.1739999998881 - RAF callback, animation time: 245.35900000000765
266.3239999999405 - RAF callback, animation time: 246.49299999998675
267.4449999999524 - RAF callback, animation time: 247.63000000007196
268.5789999999315 - RAF callback, animation time: 248.76400000005106
269.7129999999106 - RAF callback, animation time: 249.89800000003015
270.84499999989475 - RAF callback, animation time: 251.0300000000143
271.97899999998754 - RAF callback, animation time: 252.1639999999934
273.11599999995906 - RAF callback, animation time: 253.3010000000786
274.2489999999407 - RAF callback, animation time: 254.43400000006022
275.3809999999248 - RAF callback, animation time: 255.56700000004184
276.53299999997216 - RAF callback, animation time: 256.7190000000892
277.66799999994873 - RAF callback, animation time: 257.85400000006575
278.8029999999253 - RAF callback, animation time: 258.98800000004485
279.9379999999019 - RAF callback, animation time: 260.1240000000189
